Rank,Player,Receptions,Targets,Receiving Yards,Yards Per Reception,Longest Reception,Receiving Touchdowns,Rush Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
224,Thomas Ives (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
225,D.J. Montgomery (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
226,Kalija Lipscomb (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
227,Rondale Moore (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,22.10%
228,Tylan Wallace (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
229,Amon-Ra St. Brown (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,5.80%
230,Rashod Bateman (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,45.80%
231,Isaac Whitney (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
232,Jaylen Waddle (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,93.30%
233,Ja'Marr Chase (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,98.50%
234,Isaiah Coulter (CHI),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
235,Kirk Merritt (MIA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
236,Cody White (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
237,Chris Rowland (FA),0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
238,Jalen McCleskey (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
239,Josh Pearson (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
240,John Hurst (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
241,Derrick Dillon (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
242,Jaylon Moore (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
243,Rysen John (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
244,Manasseh Bailey (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
245,Kristian Wilkerson (NE),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
246,Tyler Simmons (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
247,Dezmon Patmon (IND),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
248,Quartney Davis (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
249,Jauan Jennings (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,1.80%
250,Lynn Bowden Jr. (MIA),28,37,211,7.5,22,0,9,32,0,0,10,0,0,0.00%
251,Stephen Sullivan (CAR),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
252,Tyler Vaughns (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
253,Easop Winston Jr. (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
254,Binjimen Victor (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
255,K.J. Osborn (MIN),0,0,0,0,0,0,0,0,0,0,9,0,0,3.70%
256,Aaron Parker (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
257,Chris Finke (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
258,Mason Kinsey (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
259,Trishton Jackson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
260,Deante Burton (DAL),0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
261,Deon Cain (PHI),0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
262,Jayson Stanley (SEA),0,0,0,0,0,0,0,0,0,0,8,0,0,0.00%
263,Shaq Roland (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
264,Malik Turner (DAL),0,0,0,0,0,0,0,0,0,0,6,0,0,0.10%
265,Alexander Hollins (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
266,Hakeem Butler (PHI),0,1,0,0,0,0,0,0,0,0,2,0,0,0.00%
267,Kelvin Harmon (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
268,Rico Gafford (DEN),0,2,0,0,0,0,0,0,0,0,3,0,0,0.00%
269,Caleb Scott (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
270,Jordan Veasy (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
271,Devin Ross (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
272,De'Mornay Pierson-El (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
273,John Ursua (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
274,J'Mon Moore (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
275,Quinton Bell (ATL),0,0,0,0,0,0,0,0,0,0,5,0,0,0.10%
276,Juwann Winfree (GB),0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
277,Kabion Ento (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
278,Trey Quinn (FA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
279,Jester Weah (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
280,Jody Fortson (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
281,Trinity Benson (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
282,Davion Davis (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
283,DeAndre Thompkins (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
284,Cody Thompson (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
285,Stanley Morgan Jr. (CIN),0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
286,Dylan Cantrell (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
287,Jeff Badet (FA),0,1,0,0,0,0,0,0,0,0,3,0,0,0.00%
288,Antoine Wesley (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
289,Keelan Doss (NYJ),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
