Rank,Player,Receptions,Targets,Receiving Yards,Yards Per Reception,Longest Reception,Receiving Touchdowns,Rush Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
218,Jake Nordin (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
219,Joey Haynos (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
220,Justin Snow (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
221,Keith Zinger (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
222,Jeff Driskel (HOU),0,0,0,0,0,0,6,28,0,0,3,0,0,0.00%
223,Ross Travis (FA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
224,Beau Brinkley (ARI),0,0,0,0,0,0,0,0,0,0,7,0,0,0.20%
225,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,15,0,0,0.00%
226,Tyler Ott (SEA),0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
227,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,15,0,0,0.00%
228,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
229,Bronson Kaufusi (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
230,Seth DeValve (FA),0,1,0,0,0,0,0,0,0,0,4,0,0,0.00%
231,Matt LaCosse (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
232,Eric Tomlinson (BAL),0,1,0,0,0,0,0,0,0,0,7,0,0,0.00%
233,Antony Auclair (HOU),0,1,0,0,0,0,0,0,0,0,8,0,0,0.00%
234,Garrett Griffin (NO),0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
235,Mason Schreck (CIN),0,1,0,0,0,0,0,0,0,0,14,0,0,0.00%
236,Bug Howard (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
237,Ricky Seals-Jones (WAS),0,1,0,0,0,0,0,0,0,0,2,0,0,5.90%
238,Joshua Perkins (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
239,J.P. Holtz (CHI),0,1,0,0,0,0,0,0,0,0,16,0,0,0.00%
240,Alex Ellis (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
241,Zach Wood (NO),0,0,0,0,0,0,0,0,0,0,16,0,0,0.00%
242,Jordan Matthews (SF),0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
243,Xavier Grimble (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
244,Kyle Nelson (FA),0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
